Data Year,Fuel Type,ZIP,Number of Vehicles
2011,Electric,95476,4
2011,Electric,95492,2
2011,Electric,95501,1
2011,Electric,95502,1
2011,Electric,95521,5
2011,Electric,95549,1
2011,Electric,95570,1
2011,Electric,95603,2
2011,Electric,95605,1
2011,Electric,95608,3
2011,Electric,95614,1
2011,Electric,95616,16
2011,Electric,95618,4
2011,Electric,95624,1
2011,Electric,95628,5
2011,Electric,95630,10
2011,Electric,95631,1
2011,Electric,95632,1
2011,Electric,95638,1
2011,Electric,95640,2
2011,Electric,95642,2
2011,Electric,95648,1
2011,Electric,95650,3
2011,Electric,95660,1
2011,Electric,95661,4
2011,Electric,95662,1
2011,Electric,95663,2
2011,Electric,95667,2
2011,Electric,95677,2
2011,Electric,95678,2
2011,Electric,95682,3
2011,Electric,95683,1
2011,Electric,95684,1
2011,Electric,95687,4
2011,Electric,95688,2
2011,Electric,95691,6
2011,Electric,95695,1
2011,Electric,95722,1
2011,Electric,95742,1
2011,Electric,95746,10
2011,Electric,95747,2
2011,Electric,95758,5
2011,Electric,95762,12
2011,Electric,95765,2
2011,Electric,95776,1
2011,Electric,95818,5
2011,Electric,95819,2
2011,Electric,95820,3
2011,Electric,95822,4
2011,Electric,95823,1
2011,Electric,95824,1
2011,Electric,95825,1
2011,Electric,95826,1
2011,Electric,95827,1
2011,Electric,95829,2
2011,Electric,95831,4
2011,Electric,95833,1
2011,Electric,95835,1
2011,Electric,95841,1
2011,Electric,95843,2
2011,Electric,95864,3
2011,Electric,95865,2
2011,Electric,95901,2
2011,Electric,95928,6
2011,Electric,95949,3
2011,Electric,95973,2
2011,Electric,96001,2
2011,Electric,96002,2
2011,Electric,96003,2
2011,Electric,96069,1
2011,Electric,96080,1
2011,Electric,96093,1
2011,Electric,96099,1
2011,Electric,99999,89
2011,PHEV,90004,3
2011,PHEV,90005,3
2011,PHEV,90008,1
2011,PHEV,90010,2
2011,PHEV,90012,1
2011,PHEV,90014,1
2011,PHEV,90018,2
2011,PHEV,90019,4
2011,PHEV,90020,1
2011,PHEV,90021,1
2011,PHEV,90024,8
2011,PHEV,90025,3
2011,PHEV,90026,1
2011,PHEV,90027,6
